pointid,deb thickness,Lat,Long,Easting,Northing,MF
944,0.231505,60.79992026,-138.7194661,21472.69361,6740566.429,0.621911
945,0.217958,60.79991485,-138.7176287,21572.69361,6740566.429,0.653879
946,0.126957,60.79990942,-138.7157914,21672.69361,6740566.429,0.998707
947,0.0440565,60.79990396,-138.7139541,21772.69361,6740566.429,1.92213
948,0.0051685,60.79985938,-138.6992555,22572.69361,6740566.429,1.32772
949,0.0086513,60.79985369,-138.6974182,22672.69361,6740566.429,1.54856
950,0.0108053,60.79984798,-138.6955809,22772.69361,6740566.429,1.68514
951,0.014446,60.79984225,-138.6937436,22872.69361,6740566.429,1.91599
952,0.0188763,60.79983649,-138.6919063,22972.69361,6740566.429,2.1969099
953,0.0226862,60.7998307,-138.690069,23072.69361,6740566.429,2.2681601
954,0.0240507,60.79982489,-138.6882317,23172.69361,6740566.429,2.2681601
955,0.0211149,60.79981905,-138.6863944,23272.69361,6740566.429,2.2681601
956,0.0183604,60.79981319,-138.684557,23372.69361,6740566.429,2.1641901
957,0.031299,60.7998073,-138.6827197,23472.69361,6740566.429,2.2409899
958,0.0507082,60.79980139,-138.6808824,23572.69361,6740566.429,1.7893699
959,0.0646202,60.79979545,-138.6790451,23672.69361,6740566.429,1.56353
960,0.118048,60.79978949,-138.6772078,23772.69361,6740566.429,1.05308
961,0.15869,60.79978351,-138.6753705,23872.69361,6740566.429,0.843578
962,0.197234,60.79977749,-138.6735332,23972.69361,6740566.429,0.709681
963,0.387009,60.79977146,-138.6716959,24072.69361,6740566.429,0.398363
964,0.656769,60.7997097,-138.6533229,25072.69361,6740566.429,0.245364
965,0.147518,60.79970339,-138.6514856,25172.69361,6740566.429,0.892378
966,0.071403,60.79969705,-138.6496483,25272.69361,6740566.429,1.47289
967,0.0744331,60.79969068,-138.647811,25372.69361,6740566.429,1.43571
968,0.10159,60.79968429,-138.6459737,25472.69361,6740566.429,1.17082
969,0.0899735,60.79967788,-138.6441364,25572.69361,6740566.429,1.27114
970,0.0332704,60.79967144,-138.6422991,25672.69361,6740566.429,2.1849799
971,0.0130073,60.79966497,-138.6404618,25772.69361,6740566.429,1.82477
972,0.0031827,60.79958544,-138.6184144,26972.69361,6740566.429,1.20181
973,0.0064346,60.79957865,-138.6165771,27072.69361,6740566.429,1.408
974,0.0144721,60.79957183,-138.6147399,27172.69361,6740566.429,1.91765
975,0.0328918,60.79956499,-138.6129026,27272.69361,6740566.429,2.1955199
976,0.0536727,60.79955812,-138.6110653,27372.69361,6740566.429,1.73594
977,0.109672,60.79955123,-138.609228,27472.69361,6740566.429,1.10988
978,0.176179,60.79954431,-138.6073908,27572.69361,6740566.429,0.777055
979,0.188214,60.79953737,-138.6055535,27672.69361,6740566.429,0.73706
980,0.157212,60.7995304,-138.6037162,27772.69361,6740566.429,0.849725
981,0.201034,60.79952341,-138.6018789,27872.69361,6740566.429,0.698747
982,0.261954,60.79951639,-138.6000417,27972.69361,6740566.429,0.560341
983,0.282512,60.79950935,-138.5982044,28072.69361,6740566.429,0.525233
984,0.250174,60.79950228,-138.5963671,28172.69361,6740566.429,0.582659
985,0.231489,60.79949519,-138.5945299,28272.69361,6740566.429,0.621948
986,0.203716,60.79948807,-138.5926926,28372.69361,6740566.429,0.691229
987,0.184778,60.79948093,-138.5908553,28472.69361,6740566.429,0.748052
988,0.143447,60.79947376,-138.5890181,28572.69361,6740566.429,0.911593
989,0.145698,60.79946657,-138.5871808,28672.69361,6740566.429,0.900869
990,0.231784,60.79945935,-138.5853435,28772.69361,6740566.429,0.621286
991,0.348198,60.7994521,-138.5835063,28872.69361,6740566.429,0.437624
992,0.325977,60.79944484,-138.581669,28972.69361,6740566.429,0.463795
993,0.218827,60.79943754,-138.5798318,29072.69361,6740566.429,0.651729
994,0.133958,60.79943022,-138.5779945,29172.69361,6740566.429,0.959767
995,0.147237,60.79942288,-138.5761572,29272.69361,6740566.429,0.893679
996,0.167723,60.79941551,-138.57432,29372.69361,6740566.429,0.807857
997,0.102121,60.79940812,-138.5724827,29472.69361,6740566.429,1.16661
998,0.0826271,60.7994007,-138.5706455,29572.69361,6740566.429,1.34396
999,3,60.79907517,-138.7378499,20472.69361,6740466.429,0.0565855
1000,3,60.79907002,-138.7360126,20572.69361,6740466.429,0.0565855
1001,3,60.79906483,-138.7341753,20672.69361,6740466.429,0.0565855
1002,2.29684,60.79905962,-138.732338,20772.69361,6740466.429,0.0735714
1003,1.50524,60.79905439,-138.7305008,20872.69361,6740466.429,0.111125
1004,1.09732,60.79904913,-138.7286635,20972.69361,6740466.429,0.150786
1005,0.931889,60.79904385,-138.7268262,21072.69361,6740466.429,0.176305
1006,0.49381,60.79903854,-138.7249889,21172.69361,6740466.429,0.31949
1007,0.312229,60.79903321,-138.7231517,21272.69361,6740466.429,0.481615
1008,0.129523,60.79902785,-138.7213144,21372.69361,6740466.429,0.984076
1009,0.0499902,60.79902247,-138.7194771,21472.69361,6740466.429,1.80281
1010,0.0344502,60.79901706,-138.7176398,21572.69361,6740466.429,2.1527801
1011,0.0048673,60.79896725,-138.7011044,22472.69361,6740466.429,1.30863
1012,0.0066596,60.79896158,-138.6992672,22572.69361,6740466.429,1.4222701
1013,0.0099833,60.7989559,-138.6974299,22672.69361,6740466.429,1.63302
1014,0.0112152,60.79895019,-138.6955926,22772.69361,6740466.429,1.71113
1015,0.0142827,60.79894445,-138.6937554,22872.69361,6740466.429,1.90563
1016,0.0193468,60.79893869,-138.6919181,22972.69361,6740466.429,2.2267399
1017,0.0321829,60.79893291,-138.6900808,23072.69361,6740466.429,2.2155299
1018,0.0419587,60.7989271,-138.6882436,23172.69361,6740466.429,1.96817
1019,0.0360819,60.79892126,-138.6864063,23272.69361,6740466.429,2.1097701
1020,0.031616,60.7989154,-138.6845691,23372.69361,6740466.429,2.2317901
1021,0.0315621,60.79890951,-138.6827318,23472.69361,6740466.429,2.23335
1022,0.0306624,60.7989036,-138.6808946,23572.69361,6740466.429,2.2597001
